Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011
31-07-2014,0,31-07-2013,12,31-07-2012,-5,31-07-2011,NA
01-08-2014,3,01-08-2013,8,01-08-2012,-8,01-08-2011,1
02-08-2014,NA,02-08-2013,3,02-08-2012,-9,02-08-2011,4
03-08-2014,NA,03-08-2013,NA,03-08-2012,-17,03-08-2011,5
04-08-2014,2,04-08-2013,NA,04-08-2012,NA,04-08-2011,10
05-08-2014,4,05-08-2013,6,05-08-2012,NA,05-08-2011,7
06-08-2014,4,06-08-2013,8,06-08-2012,-16,06-08-2011,NA
07-08-2014,4,07-08-2013,4,07-08-2012,-26,07-08-2011,NA
08-08-2014,2,08-08-2013,NA,08-08-2012,-22,08-08-2011,14
09-08-2014,NA,09-08-2013,NA,09-08-2012,-19,09-08-2011,25
10-08-2014,NA,10-08-2013,NA,10-08-2012,-27,10-08-2011,30
11-08-2014,7,11-08-2013,NA,11-08-2012,NA,11-08-2011,30
12-08-2014,5,12-08-2013,6,12-08-2012,NA,12-08-2011,32
13-08-2014,1,13-08-2013,6,13-08-2012,-29,13-08-2011,NA
14-08-2014,-2,14-08-2013,15,14-08-2012,-33,14-08-2011,NA
15-08-2014,4,15-08-2013,21,15-08-2012,-39,15-08-2011,34
16-08-2014,NA,16-08-2013,17,16-08-2012,-32,16-08-2011,44
17-08-2014,NA,17-08-2013,NA,17-08-2012,-34,17-08-2011,41
18-08-2014,0,18-08-2013,NA,18-08-2012,NA,18-08-2011,42
19-08-2014,-1,19-08-2013,22,19-08-2012,NA,19-08-2011,32
20-08-2014,-7,20-08-2013,18,20-08-2012,NA,20-08-2011,NA
21-08-2014,-5,21-08-2013,24,21-08-2012,NA,21-08-2011,NA
22-08-2014,-13,22-08-2013,11,22-08-2012,-30,22-08-2011,34
23-08-2014,NA,23-08-2013,16,23-08-2012,-20,23-08-2011,36
24-08-2014,NA,24-08-2013,NA,24-08-2012,-18,24-08-2011,34
25-08-2014,3,25-08-2013,NA,25-08-2012,NA,25-08-2011,36
26-08-2014,-1,26-08-2013,13,26-08-2012,NA,26-08-2011,41
27-08-2014,-5,27-08-2013,8,27-08-2012,-23,27-08-2011,NA
28-08-2014,-10,28-08-2013,11,28-08-2012,-29,28-08-2011,NA
29-08-2014,-1,29-08-2013,7,29-08-2012,-32,29-08-2011,27
30-08-2014,NA,30-08-2013,-4,30-08-2012,-50,30-08-2011,NA
31-08-2014,NA,31-08-2013,NA,31-08-2012,NA,31-08-2011,NA
01-09-2014,NA,01-09-2013,NA,01-09-2012,NA,01-09-2011,NA
02-09-2014,-2,02-09-2013,2,02-09-2012,NA,02-09-2011,59
03-09-2014,5,03-09-2013,1,03-09-2012,-46,03-09-2011,NA
04-09-2014,4,04-09-2013,3,04-09-2012,-48,04-09-2011,NA
05-09-2014,9,05-09-2013,5,05-09-2012,-52,05-09-2011,61
06-09-2014,NA,06-09-2013,2,06-09-2012,-52,06-09-2011,53
07-09-2014,NA,07-09-2013,NA,07-09-2012,-62,07-09-2011,47
08-09-2014,6,08-09-2013,NA,08-09-2012,NA,08-09-2011,46
09-09-2014,14,09-09-2013,1,09-09-2012,NA,09-09-2011,37
10-09-2014,13,10-09-2013,7,10-09-2012,-52,10-09-2011,NA
11-09-2014,14,11-09-2013,12,11-09-2012,-26,11-09-2011,NA
12-09-2014,9,12-09-2013,7,12-09-2012,-51,12-09-2011,37
13-09-2014,NA,13-09-2013,12,13-09-2012,-57,13-09-2011,42
14-09-2014,NA,14-09-2013,NA,14-09-2012,-63,14-09-2011,34
15-09-2014,20,15-09-2013,NA,15-09-2012,NA,15-09-2011,21
16-09-2014,NA,16-09-2013,NA,16-09-2012,NA,16-09-2011,NA
17-09-2014,19,17-09-2013,8,17-09-2012,NA,17-09-2011,NA
18-09-2014,27,18-09-2013,4,18-09-2012,-89,18-09-2011,NA
19-09-2014,31,19-09-2013,1,19-09-2012,-108,19-09-2011,31
20-09-2014,NA,20-09-2013,7,20-09-2012,-100,20-09-2011,11
21-09-2014,NA,21-09-2013,NA,21-09-2012,-100,21-09-2011,14
22-09-2014,31,22-09-2013,NA,22-09-2012,NA,22-09-2011,12
23-09-2014,18,23-09-2013,3,23-09-2012,NA,23-09-2011,16
24-09-2014,16,24-09-2013,2,24-09-2012,-66,24-09-2011,NA
25-09-2014,2,25-09-2013,26,25-09-2012,-65,25-09-2011,NA
26-09-2014,6,26-09-2013,39,26-09-2012,-65,26-09-2011,27
27-09-2014,NA,27-09-2013,32,27-09-2012,-75,27-09-2011,33
28-09-2014,NA,28-09-2013,NA,28-09-2012,-41,28-09-2011,38
29-09-2014,10,29-09-2013,NA,29-09-2012,NA,29-09-2011,35
